username,credit,role,uid,permission,gradepoint
admin,3186,管理员,1,255,0 个
Warald,78474,地主,2,255,0 个
Jacqueline,1967,高级农民,4767,80,0 个
ccky,490,中级农民-加分请看右边栏-多参与|分享|记录|反馈,4669,50,0 个
泽霏,3518,荣誉版主,8,80,0 个
yiyuan1840,68,新农上路-加分请看每个版右边栏,5919,10,0 个
elksw,244,中级农民-加分请看右边栏-多参与|分享|记录|反馈,6040,50,0 个
crystalvilly,214,中级农民-加分请看右边栏-多参与|分享|记录|反馈,6101,50,0 个
snitch2006,5308,荣誉版主,5139,80,0 个
樱之舞,1762,高级农民,6155,80,0 个
zhaan,117,新农上路-加分请看每个版右边栏,7060,10,0 个
小K,58455,K大妈,151,200,33 个
guoguo914,178,中级农民-加分请看右边栏-多参与|分享|记录|反馈,7184,50,0 个
追梦美国,108,新农上路-加分请看每个版右边栏,7030,10,0 个
lkhoho,72,新农上路-加分请看每个版右边栏,582,10,0 个
yzxjy,1412,高级农民,41,80,0 个
duanmupeiyi,33970,管理员,5,255,1 个
黑糖姜茶,1051,高级农民,72,80,0 个
cliff,6497,农民代表,88,80,0 个
joezcheng,10086,荣誉版主,130,80,0 个
ronaldo17,160,中级农民-加分请看右边栏-多参与|分享|记录|反馈,272,50,0 个
longzongze,320,中级农民-加分请看右边栏-多参与|分享|记录|反馈,723,50,0 个
蒹葭,1986,高级农民,122,80,0 个
chinajordan,458,中级农民-加分请看右边栏-多参与|分享|记录|反馈,210,50,0 个
toufaduo,282,中级农民-加分请看右边栏-多参与|分享|记录|反馈,779,50,0 个
DarkBrain,1025,高级农民,18,80,0 个
azhengna,80,新农上路-加分请看每个版右边栏,76,10,0 个
natexu,1016,高级农民,560,80,0 个
AV君,575,勤奋农民-感谢提供高质量信息和讨论,21,80,0 个
linchuxuan,136,中级农民-加分请看右边栏-多参与|分享|记录|反馈,139,50,0 个
max73086,1210,高级农民,357,80,0 个
seluser,870,勤奋农民-感谢提供高质量信息和讨论,799,80,0 个
dtqaz,238,中级农民-加分请看右边栏-多参与|分享|记录|反馈,641,50,0 个
独魔圣剑,12583,荣誉版主,1313,80,0 个
cc0128,6467,农民代表,405,80,0 个
Xyybob,3470,高级农民,997,80,0 个
ljcljc,29162,中产阶级,286,80,0 个
lynchear,25385,中产阶级,1499,80,0 个
windy,4384,荣誉版主,1612,80,0 个
Welkin.Polyglot,435,中级农民-加分请看右边栏-多参与|分享|记录|反馈,156,50,0 个
西瓜,295,中级农民-加分请看右边栏-多参与|分享|记录|反馈,368,50,0 个
qhleong,295,中级农民-加分请看右边栏-多参与|分享|记录|反馈,131,50,0 个
林微熙,1414,高级农民,22,80,0 个
eversigma,949,勤奋农民-感谢提供高质量信息和讨论,418,80,0 个
foolmos,785,勤奋农民-感谢提供高质量信息和讨论,230,80,0 个
xiucai,70,新农上路-加分请看每个版右边栏,870,10,0 个
iq28,10836,荣誉版主,537,80,0 个
rainfall1988,28376,中产阶级,3,80,0 个
jlbhd,7418,农民代表,39556,80,0 个
stillcare,95,新农上路-加分请看每个版右边栏,46218,10,0 个
363853746,16455,荣誉版主,8998,80,0 个
列宾,13387,荣誉版主,40490,80,0 个
一剑终情,32375,超级版主,4280,255,24 个
zach,90588,超级版主,1012,255,11 个
hopkins1019,847,勤奋农民-感谢提供高质量信息和讨论,6286,80,0 个
rbtc89126,2933,高级农民,35436,80,35 个
拉格朗月277,1887,高级农民,48025,80,6 个
RehsuR,30592,超级版主,5522,255,19 个
max101,134,中级农民-加分请看右边栏-多参与|分享|记录|反馈,1610,50,0 个
barret,7045,荣誉版主,975,80,0 个
butwho,430,中级农民-加分请看右边栏-多参与|分享|记录|反馈,3420,50,0 个
colorxc,1661,高级农民,38724,80,0 个
